Gene	RC1A	RC1B	RC2A	RC2B	RC3A	RC3B	RC4A	RC4B	RH1A	RH1B	RH2A	RH2B	RH3A	RH3B	RH4A	RH4B	YC0A	YC0B	YC1A	YC1B	YC2A	YC2B	YC3A	YC3B	YC4A	YC4B	YH1A	YH1B	YH2A	YH2B	YH3A	YH3B	YH4A	YH4B	YM9A	YM9B
CNAG_00583	12.2501	6.36332	20.0154	17.9742	20.0081	20.5316	37.8287	34.9794	12.174	28.0216	31.2876	37.8015	25.1882	33.3567	35.6508	65.7467	19.5779	9.84358	18.3169	15.8773	19.6913	13.7246	16.1924	13.8104	26.1039	25.5074	22.4189	17.842	27.9965	22.7628	31.6792	43.271	38.1144	31.4292	13.7218	26.4868
CNAG_00584	89.3345	200.958	143.607	143.608	108.071	233.058	98.9239	145.482	23.5137	139.34	121.736	316.415	76.5232	341.853	70.3769	361.228	123.416	85.7983	246.874	184.176	189.982	207.486	99.2076	102.935	138.922	150.531	244.877	260.452	240.309	392.63	265.823	325.785	362.847	336.058	88.2355	139.147
CNAG_00585	31.1508	56.6657	28.6468	16.5585	27.2441	18.037	13.0419	8.31111	15.7524	60.6393	21.097	11.6664	4.77527	5.44314	1.75204	4.88043	0	2.67718	23.5004	37.084	53.8843	44.5975	35.5253	39.0945	29.8207	33.2799	71.5468	81.445	62.5359	88.9146	42.863	74.1018	40.559	27.7926	38.9224	27.279
CNAG_00586	94.0033	89.6196	104.77	132.871	45.4945	162.018	184.784	142.416	8.6821	58.2567	58.1176	113.522	40.2142	141.336	46.7266	125.276	82.5941	103.082	57.6419	78.5356	47.9137	43.0082	54.8436	18.1635	39.5008	11.436	89.481	82.0317	31.7629	23.4848	119.97	70.1349	57.5525	51.9646	13.2988	14.0539
CNAG_00587	27.0584	48.2071	5.65291	11.7152	7.11952	14.2168	6.3767	1.1105	3.41407	13.5878	1.59257	1.29893	1.99239	12.3829	1.65225	2.76341	77.3458	13.8855	20.864	18.4222	10.7298	7.26006	5.29176	5.60507	4.01868	3.78983	11.9962	11.107	20.1249	9.83321	5.00218	10.5761	6.16464	5.69024	0	3.07308
CNAG_00588	1049.51	1624.59	416.268	547.013	711.464	513.753	897.939	456.58	367.243	1205.18	417.054	417.634	203.469	879.92	150.234	571.236	2696.33	3253.79	1067.25	819.156	63.7679	26.1662	77.3349	15.5112	33.2736	4.37696	110.779	76.6357	53.6522	61.2278	47.4095	142.653	23.5254	0	7.53181	4.4451
CNAG_00589	12.6616	1.33153	8.36565	18.725	11.0337	18.7852	8.7106	14.208	4.37373	5.57296	11.5121	18.9943	7.02229	5.68771	7.38525	24.6265	22.5616	6.49458	5.01066	10.1777	9.18206	9.83569	13.8022	8.43408	7.63618	10.5878	33.0055	13.9466	13.8245	16.5767	25.1128	17.7595	9.58696	8.52368	11.897	21.1106
CNAG_00590	5.4345	7.36573	4.60779	15.1072	7.33877	12.0082	8.01565	8.15881	3.18463	14.6179	11.0422	11.0709	7.21823	5.29485	3.10455	8.69433	4.97492	3.89415	13.3681	14.3177	31.4824	29.3654	27.2593	22.93	24.9385	19.6541	27.0905	23.4325	35.6421	27.0391	21.4428	32.0338	23.3309	20.9685	19.3412	26.3717
CNAG_00591	0	0	1.77958	0	0	0.582347	0.507409	0	0	0	0	0	0	0	0.34378	0	1.18978	0	0	0.222469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.574896
CNAG_00592	2.3635	11.8218	10.7386	5.8335	10.3033	12.2312	6.1119	9.28987	1.19619	7.9003	10.6136	17.8985	9.42806	14.5728	5.18839	15.1302	3.03512	4.40251	2.01494	4.81998	7.37895	3.9578	5.5535	4.88649	3.87747	5.16496	5.8099	3.32909	13.4603	13.3419	4.32208	18.2718	7.4054	8.22088	8.52992	6.63158
CNAG_00593	7.91436	5.39835	7.38072	29.3001	12.5996	10.0531	7.10868	11.5285	4.20462	5.66871	12.7105	9.63259	9.46854	5.39344	7.81615	11.0538	3.04912	5.7488	13.1584	15.096	23.7236	23.8577	23.1761	17.7281	16.8812	22.8937	26.6836	19.6493	40.5632	43.0848	13.5098	28.8445	20.5351	19.2721	9.64056	19.9886
CNAG_00594	26.4627	31.8147	41.8852	42.9041	24.0092	32.6868	34.0349	42.8021	13.5195	27.6756	28.3434	40.1033	19.7323	45.7014	13.1646	38.9748	17.2804	11.2568	28.0328	33.9785	28.5244	28.6579	20.9166	33.5279	35.8107	30.4267	45.7908	48.5672	20.7146	15.7991	26.2758	37.2971	20.8783	26.2303	13.7335	21.651
CNAG_00595	1.56562	1.41938	6.00977	3.87174	2.38707	2.70101	0.857736	0.361221	3.6402	3.74583	3.83061	1.69017	1.77104	3.04954	2.04359	3.65087	4.00873	2.64597	8.60492	1.87478	0.96858	3.18124	3.37119	2.85587	3.395	0.996682	4.63893	0.822217	1.49249	3.13406	3.46431	0	3.69166	2.69801	0	2.89741
CNAG_00596	5.21564	3.15444	2.91762	4.29757	1.32378	6.2712	4.51806	1.60521	0	0.831539	2.72752	5.63315	1.95779	11.8513	2.58268	6.07889	8.90892	0.651793	0.736339	0.624799	0	1.60825	0.31246	2.97789	2.36067	3.549	0.910505	2.74251	2.48368	0	3.50486	0.959313	6.27031	8.00519	7.03601	0.537484
CNAG_00597	69.7161	86.8981	68.4751	88.7743	36.1213	52.5539	22.7426	22.3745	10.6125	32.2104	17.0069	28.4561	4.35566	3.81144	9.26492	22.108	50.3649	46.0897	71.8088	72.4982	75.8105	58.2725	69.3792	51.8227	58.4003	73.7399	50.5131	25.6723	22.95	14.8626	17.9132	8.82502	17.8901	17.6754	26.3002	45.9241
CNAG_00598	4.0954	4.4496	2.36134	1.21634	2.34705	1.92702	1.34983	3.11538	2.56187	12.357	4.31602	5.63204	1.4022	1.59567	2.07888	11.4685	8.63997	1.85207	7.24703	4.85143	1.5143	0	0.219781	0.139634	0	0	1.49435	0.858235	0	1.47128	0.49221	0	0.303697	0	0	0.377258
CNAG_00599	14.6118	11.5617	9.44637	9.04812	10.1408	9.31076	4.52637	7.99294	1.68022	2.1887	3.38447	8.36567	1.47142	5.33811	1.21118	8.79707	9.33003	6.04232	13.4235	9.93707	13.1778	9.22396	13.0315	12.0046	13.3962	16.8448	4.74667	1.11386	5.67891	3.27172	7.65288	11.5787	9.5571	17.7043	8.99627	8.09809
